# ----------------------------------------
# 全部网站数据
# 热门事件
# 20190717-20190720
# ----------------------------------------

事件标签,事件总数,唯一身份事件数,事件价值,平均价值
2619182023906259309_2019/7/19 23:40:5_28%_58,1,1,0,0.00
2619182023906259309_2019/7/19 23:40:5_3%_12,1,1,0,0.00
2619182023906259309_2019/7/19 23:40:5_30%_63,1,1,0,0.00
2619182023906259309_2019/7/19 23:40:5_32%_69,1,1,0,0.00
2619182023906259309_2019/7/19 23:40:5_34%_72,1,1,0,0.00
2619182023906259309_2019/7/19 23:40:5_36%_75,1,1,0,0.00
2619182023906259309_2019/7/19 23:40:5_38%_78,1,1,0,0.00
2619182023906259309_2019/7/19 23:40:5_41%_80,1,1,0,0.00
2619182023906259309_2019/7/19 23:40:5_45%_83,1,1,0,0.00
2619182023906259309_2019/7/19 23:40:5_46%_94,1,1,0,0.00
2619182023906259309_2019/7/19 23:40:5_5%_14,1,1,0,0.00
2619182023906259309_2019/7/19 23:40:5_51%_95,1,1,0,0.00
2619182023906259309_2019/7/19 23:40:5_53%_96,1,1,0,0.00
2619182023906259309_2019/7/19 23:40:5_64%_97,1,1,0,0.00
2619182023906259309_2019/7/19 23:40:5_70%_99,1,1,0,0.00
2619182023906259309_2019/7/19 23:40:5_77%_100,1,1,0,0.00
2619182023906259309_2019/7/19 23:40:5_78%_101,1,1,0,0.00
2619182023906259309_2019/7/19 23:40:5_88%_101,1,1,0,0.00
2619182023906779842_2019/7/20 9:6:45_-845%_140,1,1,0,0.00
2619182023906779842_2019/7/20 9:6:45_1%_11,1,1,0,0.00
2619182023906779842_2019/7/20 9:6:45_100%_54,1,1,0,0.00
2619182023906779842_2019/7/20 9:6:45_12%_16,1,1,0,0.00
2619182023906779842_2019/7/20 9:6:45_15%_17,1,1,0,0.00
2619182023906779842_2019/7/20 9:6:45_20%_18,1,1,0,0.00
2619182023906779842_2019/7/20 9:6:45_21%_20,1,1,0,0.00
2619182023906779842_2019/7/20 9:6:45_28%_22,1,1,0,0.00
2619182023906779842_2019/7/20 9:6:45_30%_22,1,1,0,0.00
